,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
378,42,1,0,0,0,0,9.88
379,42,2,0,1,0,0,8.57
380,42,3,0,1,0,0,7.82
381,42,4,0,1,0,0,6.85
382,42,5,0,1,0,0,5.64
383,42,6,1,1,0,1,4.31
384,42,7,1,1,0,1,2.25
385,42,8,0,1,0,0,0.6
386,42,9,0,1,0,0,-0.26
387,43,1,0,1,0,0,9.96
388,43,2,0,1,0,0,8.65
389,43,3,0,1,0,0,7.89
390,43,4,0,1,0,0,7.11
391,43,5,0,1,0,0,5.94
392,43,6,1,1,1,1,4.53
393,43,7,1,1,0,1,2.38
394,43,8,1,1,0,1,0.8
395,43,9,0,1,0,0,-0.06
396,44,1,0,0,0,0,9.84
397,44,2,0,1,0,0,8.62
398,44,3,0,1,0,0,7.94
399,44,4,0,1,0,0,7.25
400,44,5,0,1,0,0,6.04
401,44,6,1,1,1,1,4.46
402,44,7,1,1,0,1,2.52
403,44,8,1,1,0,1,1.0
404,44,9,0,1,0,0,0.09
405,45,1,0,0,0,0,9.66
406,45,2,0,0,0,0,8.48
407,45,3,0,1,0,0,7.83
408,45,4,0,1,0,0,7.24
409,45,5,0,1,0,0,6.19
410,45,6,1,1,1,1,4.56
411,45,7,1,1,0,1,2.57
412,45,8,1,1,1,1,1.09
413,45,9,1,1,0,1,0.26
414,46,1,0,0,0,0,9.52
415,46,2,0,0,0,0,8.31
416,46,3,0,0,0,0,7.68
417,46,4,0,0,0,0,7.13
418,46,5,0,1,0,0,6.14
419,46,6,1,1,1,1,4.57
420,46,7,1,1,1,1,2.93
421,46,8,1,1,1,1,1.48
422,46,9,1,1,1,1,0.56
423,47,1,0,0,0,0,9.61
424,47,2,0,0,0,0,8.3
425,47,3,0,0,0,0,7.63
426,47,4,0,0,0,0,6.99
427,47,5,0,0,0,0,5.68
428,47,6,0,1,0,0,4.09
429,47,7,1,1,0,1,2.76
430,47,8,1,1,1,1,1.56
431,47,9,1,1,1,1,0.6
432,48,1,0,0,0,0,9.55
433,48,2,0,0,0,0,8.22
434,48,3,0,0,0,0,7.53
435,48,4,0,0,0,0,6.72
436,48,5,0,0,0,0,5.16
437,48,6,0,0,0,0,3.62
438,48,7,1,1,0,1,2.53
