time,rho,Isolation Forest,SVM,Autoencoder,Voted
120,2,0,1,0,0
120,3,0,1,0,0
120,4,0,1,0,0
120,5,0,0,0,0
120,6,0,1,0,0
120,7,0,1,0,0
120,8,0,1,0,0
120,9,0,1,0,0
121,1,0,0,0,0
121,2,0,1,0,0
121,3,0,1,0,0
121,4,0,0,0,0
121,5,0,1,0,0
121,6,0,1,0,0
121,7,0,1,0,0
121,8,1,1,0,1
121,9,1,1,1,1
122,1,1,1,0,1
122,2,0,1,0,0
122,3,0,1,0,0
122,4,0,1,0,0
122,5,0,1,0,0
122,6,0,1,0,0
122,7,0,1,0,0
122,8,0,0,0,0
122,9,0,1,0,0
123,1,0,1,0,0
123,2,0,1,0,0
123,3,0,1,0,0
123,4,0,1,0,0
123,5,0,1,0,0
123,6,0,1,0,0
123,7,0,1,0,0
123,8,0,1,0,0
123,9,0,1,0,0
124,1,0,0,0,0
124,2,0,0,0,0
124,3,0,0,0,0
124,4,1,1,0,1
124,5,1,1,1,1
124,6,1,1,1,1
124,7,0,0,0,0
124,8,0,0,0,0
124,9,0,0,0,0
125,1,0,0,0,0
125,2,1,1,0,1
125,3,0,1,0,0
125,4,0,1,0,0
125,5,1,1,0,1
125,6,1,1,1,1
125,7,0,1,0,0
125,8,0,0,0,0
125,9,0,0,0,0
126,1,0,0,0,0
126,2,0,1,0,0
126,3,0,1,0,0
126,4,1,1,0,1
126,5,1,1,1,1
126,6,1,1,1,1
126,7,0,1,0,0
126,8,0,0,0,0
126,9,0,0,0,0
127,1,0,0,0,0
127,2,0,0,0,0
127,3,0,0,0,0
127,4,0,1,0,0
127,5,1,1,0,1
127,6,0,0,0,0
127,7,0,0,0,0
127,8,0,0,0,0
127,9,0,0,0,0
128,1,0,0,0,0
128,2,0,1,0,0
128,3,0,1,0,0
128,4,0,0,0,0
128,5,0,0,0,0
