time,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9
608,2,2,3,3,2,2,2,2,2
609,3,3,3,2,2,2,2,2,2
610,2,2,3,2,2,2,2,2,2
611,1,2,3,3,3,2,2,2,2
612,1,2,3,3,3,3,3,3,3
613,1,1,2,3,2,3,3,3,3
614,1,1,2,2,2,2,2,3,3
615,1,1,2,3,2,2,2,2,2
616,1,2,2,3,3,3,2,2,2
617,1,2,2,3,3,2,2,2,2
618,1,2,2,2,2,2,2,2,2
619,1,1,2,2,2,2,2,2,2
620,2,2,3,3,3,3,2,2,2
621,2,2,2,2,2,2,2,2,2
622,3,2,3,3,3,2,2,2,2
623,2,2,3,3,3,2,2,2,2
624,3,3,3,3,3,2,2,2,2
625,2,2,3,3,2,2,2,2,2
626,1,1,2,3,3,2,2,1,1
627,1,1,2,3,2,2,2,2,2
628,1,1,2,3,2,2,2,2,2
629,2,1,2,3,3,2,2,2,2
630,2,1,2,3,3,2,2,2,2
631,1,1,2,3,3,2,2,2,2
632,1,1,2,3,3,2,2,1,1
633,1,1,2,2,2,2,1,1,1
634,1,1,2,2,2,2,2,2,2
635,1,1,2,2,2,3,2,2,2
636,1,2,3,2,3,3,2,2,2
637,1,2,3,2,2,2,2,1,1
638,2,2,3,2,2,2,1,1,1
639,2,2,3,3,3,3,2,1,1
640,1,2,3,3,3,3,2,2,2
641,1,2,3,3,3,3,2,2,2
642,1,2,3,3,3,3,3,2,2
643,2,2,3,3,3,3,3,3,3
644,2,3,3,3,3,3,3,3,3
645,2,3,3,3,3,3,3,3,3
646,2,2,3,3,3,3,3,3,3
647,2,2,3,3,3,3,3,3,3
648,1,2,3,3,3,3,3,3,3
649,1,1,2,3,3,3,3,3,3
650,2,2,3,3,3,3,3,3,3
651,1,1,2,2,2,3,3,3,3
652,1,1,2,2,3,3,3,3,3
653,1,1,2,2,3,3,3,3,3
654,1,1,2,2,3,3,3,3,3
655,1,1,2,2,3,3,3,3,3
656,1,1,2,3,3,3,3,3,3
657,1,1,2,3,3,3,3,3,3
658,1,1,2,3,3,3,3,3,3
659,2,1,2,3,3,3,3,3,3
660,2,1,2,3,3,3,3,3,3
661,1,1,2,3,3,3,3,3,3
662,1,1,2,3,3,3,3,3,3
663,1,1,2,3,3,3,3,3,3
664,1,1,2,3,3,3,3,3,3
665,2,2,3,3,3,3,3,3,3
666,1,1,3,3,3,3,3,3,3
667,1,1,2,3,3,3,3,3,3
668,1,2,2,2,3,3,3,3,3
669,2,2,2,2,2,3,3,1,1
670,2,3,3,3,2,3,3,2,2
671,3,3,2,2,2,2,3,1,1
672,3,3,2,2,2,3,3,2,2
673,2,2,2,2,3,3,3,2,2
674,2,2,2,3,3,3,3,2,2
675,1,1,2,2,3,3,3,2,2
676,1,1,2,2,3,3,3,3,3
677,1,1,2,3,3,3,3,3,3
678,1,2,3,3,3,3,3,3,3
679,1,2,3,3,3,3,3,3,3
680,1,1,3,3,3,3,3,3,3
681,1,2,3,3,3,3,3,2,2
682,1,2,3,3,3,3,3,3,3
683,2,2,3,3,3,3,3,3,3
684,2,3,3,3,3,3,3,3,3
685,2,3,3,3,3,3,3,3,3
686,3,3,3,3,3,3,3,3,3
687,2,3,3,3,3,3,3,2,2
688,2,2,3,3,3,2,2,2,2
689,2,2,3,3,3,3,2,2,2
690,2,2,3,3,3,3,3,2,2
691,2,2,3,3,3,3,3,3,3
